,system:index,BLUE,EVI,GREEN,MNDWI,NBR,NDMI,NDVI,NDWI,NIR,NIRv,RED,SAVI,SWIR1,SWIR2,composite_stat,date,image_count,image_id,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,period,has_any_missing_value,n_missing_values
44,8_0,0.0518194669915364,0.2646928517381365,0.089047682386271,-0.5526821745490997,0.1920342680862835,-0.0330303073970173,0.4100649539297692,-0.528589556629256,0.2956049172622001,0.1231687592761956,0.1235317359255279,0.2724879418873371,0.3108078719481111,0.199730218847462,median,2022-01-01,532,8,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1640995200000,annual,2022,current,False,0
45,9_0,0.0496569775276815,0.2604533002320882,0.0890873017577294,-0.5362224105169744,0.2238918124305477,-0.0242041975600936,0.4117892875514257,-0.5261256824767278,0.2934295334590764,0.1218084898156066,0.1229017520647459,0.2726205855793815,0.3066479534304506,0.1864433653355968,median,2023-01-01,756,9,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1672531200000,annual,2023,current,False,0
46,10_0,0.0414534945761573,0.3790569576292879,0.0813112855745486,-0.522794246003326,0.3706330579714134,0.0991424482164538,0.5660932184795388,-0.5835818159852622,0.3172729647803198,0.185223771958634,0.0884063322548488,0.3771254453659208,0.263032475674926,0.1477196846892164,median,2024-01-01,778,10,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1704067200000,annual,2024,current,False,0
47,11_0,0.0401477851480302,0.3365705780703978,0.0742748418838501,-0.5611364130919522,0.3145285076436364,0.0279010405406023,0.5384230407623779,-0.5781827253591861,0.2886315127748379,0.1570448804346804,0.0833203443765941,0.3446876703116836,0.2662429485819213,0.1486192849286419,median,2025-01-01,456,11,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1735689600000,annual,2025,current,False,0
48,0_1,0.0184949158316849,0.527752767862699,0.0427205877601427,-0.5407217237991861,0.6823169372917504,0.3756315153850456,0.8277250408159936,-0.7605265317829394,0.3157819795798955,0.2623085768752053,0.0296102146121508,0.5065339593505026,0.1437508682134919,0.0599501586076418,median,2014-01-01,17,0,reference,buda,Buda,buda_aoi.geojson,1388534400000,annual,2014,baseline,False,0
49,1_1,0.0201799660369859,0.5975474519323627,0.0453584591390015,-0.5533591248168841,0.7007878797223654,0.3828201560004127,0.8539288610306638,-0.7710464041935542,0.3547095042243001,0.3046322666759629,0.0275212058074345,0.5542736585772037,0.1586030343905625,0.0624291028103791,median,2015-01-01,18,1,reference,buda,Buda,buda_aoi.geojson,1420070400000,annual,2015,baseline,False,0
50,2_1,0.0182751687876,0.5401936262010155,0.0409291371820957,-0.5892510048306989,0.6680604140001044,0.3466662305019095,0.8417898658246382,-0.7706601282093215,0.3175265028487502,0.2672852651154362,0.0271608733370075,0.5141569340065654,0.1576314749322649,0.0642201614221325,median,2016-01-01,247,2,reference,buda,Buda,buda_aoi.geojson,1451606400000,annual,2016,baseline,False,0
51,3_1,0.0178719026532446,0.5363095176049059,0.0417057564586663,-0.5740199062374759,0.6673478668322301,0.3477152482337538,0.8319836806294613,-0.7654004549084779,0.3207174697261473,0.2690320258925586,0.0289291446470967,0.5142133928002606,0.1542061139667284,0.0643311260678879,median,2017-01-01,312,3,reference,buda,Buda,buda_aoi.geojson,1483228800000,annual,2017,baseline,False,0
52,4_1,0.0162385584061673,0.5802449809709972,0.0386559787847291,-0.580263806972685,0.7210113835673945,0.4004125134908857,0.8781683570827044,-0.7930933990858458,0.3320099430145413,0.2916768845179616,0.022098247113009,0.5447936841793337,0.1427714458737664,0.0543429617351909,median,2018-01-01,670,4,reference,buda,Buda,buda_aoi.geojson,1514764800000,annual,2018,current,False,0
53,5_1,0.0160052570632005,0.5635311735704421,0.0388343666378892,-0.580365043024953,0.7026388720171263,0.3804934151057467,0.8648758282465732,-0.7876637229468796,0.3287885870612935,0.2837900119815701,0.0234601733556567,0.5345205625048064,0.1468274939389429,0.0573790031787808,median,2019-01-01,705,5,reference,buda,Buda,buda_aoi.geojson,1546300800000,annual,2019,current,False,0
