,site_id,site_name,site_category,year,season,period,expected_months_in_season,observed_rows_in_season,missing_rows_in_season,min_valid_months_required,BLUE_n_valid_months,BLUE,GREEN_n_valid_months,GREEN,RED_n_valid_months,RED,NIR_n_valid_months,NIR,SWIR1_n_valid_months,SWIR1,SWIR2_n_valid_months,SWIR2,NDVI_n_valid_months,NDVI,EVI_n_valid_months,EVI,NDWI_n_valid_months,NDWI,MNDWI_n_valid_months,MNDWI,SAVI_n_valid_months,SAVI,NDMI_n_valid_months,NDMI,NBR_n_valid_months,NBR,NIRv_n_valid_months,NIRv
104,buda,Buda,reference,2018,dry,current,4,4,0,3,3,0.018377610245269866,3,0.038379108137930135,3,0.025352793538734365,3,0.287493986741935,3,0.14745850426295923,3,0.061102914574852035,3,0.8284644161201489,3,0.4940931974453857,3,-0.7560550968571048,3,-0.5649039987453833,3,0.4687637727272291,3,0.3341601972811816,3,0.6578499965470403,3,0.24163859438426907
105,buda,Buda,reference,2018,wet,current,3,3,0,2,2,0.01567982735417315,2,0.038441410992567454,2,0.0230346223076229,2,0.3222885755232827,2,0.14151490214562457,2,0.05448213935663745,2,0.8657386939328895,2,0.55726606911951,2,-0.7862468961278946,2,-0.573561825462765,2,0.5298483772526865,2,0.3899465274788445,2,0.7111131322793331,2,0.27992527940274137
106,buda,Buda,reference,2019,dry,current,4,4,0,3,3,0.0172984772305952,3,0.03938224109742767,3,0.022557318057178404,3,0.3424878520521706,3,0.15298694616168784,3,0.05789620496601757,3,0.8762924837268574,3,0.5930214369555811,3,-0.7935859498250801,3,-0.5902717269554766,3,0.55405616700394,3,0.38298286707377543,3,0.7112307680968014,3,0.3003773052250795
107,buda,Buda,reference,2019,wet,current,3,3,0,2,2,0.0160207949532143,2,0.03952367200030035,2,0.02515979841136015,2,0.323956000205153,2,0.14692668929707337,2,0.0587973626401593,2,0.855105045931156,2,0.5512443153577388,2,-0.7817131973770708,2,-0.5764577382551992,2,0.5269048373976273,2,0.37673521279439726,2,0.6937434714064419,2,0.2779431250413755
108,buda,Buda,reference,2020,dry,current,4,4,0,3,3,0.019480805329672803,3,0.04107943904416707,3,0.023703120353042565,3,0.35111316056489045,3,0.1695274873648427,3,0.06487519695721716,3,0.8718388511972209,3,0.6066966233972498,3,-0.7891326581792822,3,-0.6102639927705141,3,0.5596841760893789,3,0.3472180868920975,3,0.6866230719425147,3,0.3071004996684436
109,buda,Buda,reference,2020,wet,current,3,3,0,2,2,0.01629280223367645,2,0.0372632956816093,2,0.0208864963195787,2,0.3426949045328105,2,0.14408833084665357,2,0.05352299705705919,2,0.8847727144527082,2,0.5978091885100758,2,-0.8035862548597015,2,-0.5899613814639593,2,0.558214653268112,2,0.40816735327537834,2,0.7300477183763784,2,0.30363428680046156
110,buda,Buda,reference,2021,dry,current,4,4,0,3,3,0.016928716977234266,3,0.038822712335007066,3,0.023922239253770166,3,0.32688614779298014,3,0.1550610087305494,3,0.06062685503336394,3,0.8623313723053695,3,0.562713012626897,3,-0.786515565370328,3,-0.6001013159807285,3,0.5323598463352787,3,0.35576455685784847,3,0.6863220482946439,3,0.28270819679378034
111,buda,Buda,reference,2021,wet,current,3,3,0,2,3,0.015308259932546664,3,0.039889525759229466,3,0.0249690949880115,3,0.33811561954893454,3,0.1472167696076538,3,0.05871667026147893,3,0.8609262584060299,3,0.5693001126769593,3,-0.7881366847005244,3,-0.5743235348646029,3,0.5419022283538274,3,0.3932940426717461,3,0.7034064834928001,3,0.2922214079011099
112,buda,Buda,reference,2022,dry,current,4,4,0,3,4,0.021763718748997005,4,0.04262930747083925,4,0.023843351324583928,4,0.362121552370595,4,0.1601336252946632,4,0.0621332740883096,4,0.8751015754814826,4,0.6294569282310598,4,-0.7880621335407824,4,-0.5787652494484598,4,0.5711873507535565,4,0.38571733981468437,4,0.7058007573720798,4,0.3177041866939237
113,buda,Buda,reference,2022,wet,current,3,3,0,2,3,0.0195325185981769,3,0.0453679450334002,3,0.03263333605108597,3,0.3399688852925505,3,0.1639145340519998,3,0.07060505682125733,3,0.823643249572783,3,0.5530522208933566,3,-0.7631616342539904,3,-0.5654151634923728,3,0.5262757144450911,3,0.35200949622035616,3,0.6589596047104461,3,0.28184606532374706
114,buda,Buda,reference,2023,dry,current,4,4,0,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
115,buda,Buda,reference,2023,wet,current,3,3,0,2,3,0.014893749031246434,3,0.0390373698054882,3,0.022324164061896166,3,0.35223348842102714,3,0.14645076722091765,3,0.05567067473233677,3,0.8793707019568459,3,0.5992519531472249,3,-0.7996430015006876,3,-0.5796450386815871,3,0.5638256556255291,3,0.4120052717086211,3,0.7261000531461859,3,0.31065129787088597
116,buda,Buda,reference,2024,dry,current,4,4,0,3,3,0.0183672704557214,3,0.04105758003636983,3,0.02389027972541463,3,0.35933067991620576,3,0.16443722169725924,3,0.06348245445762417,3,0.87406890859942,3,0.6134685928091915,3,-0.7939977997011188,3,-0.6007832580122278,3,0.5678865123667425,3,0.37128879865906717,3,0.6987445690126816,3,0.3148198639329294
